?û³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼??û	¶ÔÓ¦Îï¼?Ë÷??	¿í¶È	¸ß¶È	Ëµ?÷ÎÄ×Ö	Îå??Êô?Ô	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµ?·Å	»ù´¡Êô?Ô1Àà?Í	»ù´¡Êô?Ô1×î?¡Öµ	»ù´¡Êô?Ô1×î´óÖµ	»ù´¡Êô?Ô2Àà?Í	»ù´¡Êô?Ô2×î?¡Öµ	»ù´¡Êô?Ô2×î´óÖµ	»ù´¡Êô?Ô3Àà?Í	»ù´¡Êô?Ô3×î?¡Öµ	»ù´¡Êô?Ô3×î´óÖµ	»ù´¡Êô?Ô4Àà?Í	»ù´¡Êô?Ô4×î?¡Öµ	»ù´¡Êô?Ô4×î´óÖµ	»ù´¡Êô?Ô5Àà?Í	»ù´¡Êô?Ô5×î?¡Öµ	»ù´¡Êô?Ô5×î´óÖµ	»ù´¡Êô?Ô6Àà?Í	»ù´¡Êô?Ô6×î?¡Öµ	»ù´¡Êô?Ô6×î´óÖµ	»ù´¡Êô?Ô7Àà?Í	»ù´¡Êô?Ô7×î?¡Öµ	»ù´¡Êô?Ô7×î´óÖµ	?èÇóÊô?Ô1Àà?Í	?èÇóÊô?Ô1Ê?Öµ	?èÇóÊô?Ô2Àà?Í	?èÇóÊô?Ô2Ê?Öµ	?èÇóÊô?Ô3Àà?Í	?èÇóÊô?Ô3Ê?Öµ	?èÇóÊô?Ô4Àà?Í	?èÇóÊô?Ô4Ê?Öµ	?èÇóÊô?Ô5Àà?Í	?èÇóÊô?Ô5Ê?Öµ	?èÇóÊô?Ô6Àà?Í	?èÇóÊô?Ô6Ê?Öµ
Truy ®iÖn	0	10	28	\spr\item\equip\horse\horse041.spr	40	2	3	"§iÖn quang thiÓm, ®? linh h­ëng, l«i thanh chÊn, thiªn l? dÜ thµnh th©n hËu  méng"	0	5000	10	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L­u Tinh 	0	10	29	\spr\item\equip\horse\horse042.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi nhanh nh­ l­u tinh, t? ®? c? tªn nµy"	0	5000	1	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L­u Tinh 	0	10	29	\spr\item\equip\horse\horse042.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi nhanh nh­ l­u tinh, t? ®? c? tªn nµy"	0	5000	2	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L­u Tinh 	0	10	29	\spr\item\equip\horse\horse042.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi nhanh nh­ l­u tinh, t? ®? c? tªn nµy"	0	5000	3	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L­u Tinh 	0	10	29	\spr\item\equip\horse\horse042.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi nhanh nh­ l­u tinh, t? ®? c? tªn nµy"	0	5000	4	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L­u Tinh 	0	10	29	\spr\item\equip\horse\horse042.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi nhanh nh­ l­u tinh, t? ®? c? tªn nµy"	0	5000	5	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L­u Tinh 	0	10	29	\spr\item\equip\horse\horse042.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi nhanh nh­ l­u tinh, t? ®? c? tªn nµy"	0	5000	6	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L­u Tinh 	0	10	29	\spr\item\equip\horse\horse042.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi nhanh nh­ l­u tinh, t? ®? c? tªn nµy"	0	5000	7	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L­u Tinh 	0	10	29	\spr\item\equip\horse\horse042.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi nhanh nh­ l­u tinh, t? ®? c? tªn nµy"	0	5000	8	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L­u Tinh 	0	10	29	\spr\item\equip\horse\horse042.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi nhanh nh­ l­u tinh, t? ®? c? tªn nµy"	0	5000	9	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L­u Tinh 	0	10	29	\spr\item\equip\horse\horse042.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi nhanh nh­ l­u tinh, t? ®? c? tªn nµy"	0	5000	10	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Phiªn Vò	0	10	30	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	500000	1	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Phiªn Vò	0	10	30	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	500000	2	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Phiªn Vò	0	10	30	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	500000	3	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Phiªn Vò	0	10	30	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	500000	4	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Phiªn Vò	0	10	30	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	500000	5	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Phiªn Vò	0	10	30	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	500000	6	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Phiªn Vò	0	10	30	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	500000	7	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Phiªn Vò	0	10	30	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	500000	8	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Phiªn Vò	0	10	30	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	500000	9	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Phiªn Vò	0	10	30	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	500000	10	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
XÝch Long C©u	0	10	31	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	500000	1	0	111	100%	100%	243	20	20	233	700	700	150	700	700	241	10	10							36	130										
XÝch Long C©u	0	10	31	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	500000	2	0	111	100%	100%	243	20	20	233	700	700	150	700	700	241	10	10							36	130										
XÝch Long C©u	0	10	31	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	500000	3	0	111	100%	100%	243	20	20	233	700	700	150	700	700	241	10	10							36	130										
XÝch Long C©u	0	10	31	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	500000	4	0	111	100%	100%	243	20	20	233	700	700	150	700	700	241	10	10							36	130										
XÝch Long C©u	0	10	31	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	500000	5	0	111	100%	100%	243	20	20	233	700	700	150	700	700	241	10	10							36	130										
XÝch Long C©u	0	10	31	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	500000	6	0	111	100%	100%	243	20	20	233	700	700	150	700	700	241	10	10							36	130										
XÝch Long C©u	0	10	31	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	500000	7	0	111	100%	100%	243	20	20	233	700	700	150	700	700	241	10	10							36	130										
XÝch Long C©u	0	10	31	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	500000	8	0	111	100%	100%	243	20	20	233	700	700	150	700	700	241	10	10							36	130										
XÝch Long C©u	0	10	31	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	500000	9	0	111	100%	100%	243	20	20	233	700	700	150	700	700	241	10	10							36	130										
XÝch Long C©u	0	10	31	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	500000	10	0	111	100%	100%	243	20	20	233	700	700	150	700	700	241	10	10							36	130										
Siªu Quang	0	10	32	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	500000	1	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Siªu Quang	0	10	32	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	500000	2	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Siªu Quang	0	10	32	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	500000	3	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Siªu Quang	0	10	32	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	500000	4	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Siªu Quang	0	10	32	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	500000	5	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Siªu Quang	0	10	32	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	500000	6	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Siªu Quang	0	10	32	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	500000	7	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Siªu Quang	0	10	32	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	500000	8	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Siªu Quang	0	10	32	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	500000	9	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
Siªu Quang	0	10	32	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn."	5	500000	10	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
